aX,aY,aZ
-1160,459,-646
-1160,459,-646
-1213,555,-670
-1213,555,-670
-1213,555,-670
-1213,555,-670
-1213,555,-670
-1213,555,-670
-1291,664,-639
-1291,664,-639
-1291,664,-639
-1291,664,-639
-1291,664,-639
-1291,664,-639
-1382,714,-602
-1382,714,-602
-1382,714,-602
-1382,714,-602
-1382,714,-602
-1382,714,-602
-1454,754,-598
-1454,754,-598
-1454,754,-598
-1454,754,-598
-1454,754,-598
-1509,870,-578
-1509,870,-578
-1509,870,-578
-1509,870,-578
-1509,870,-578
-1509,870,-578
-1567,998,-485
-1567,998,-485
-1567,998,-485
-1567,998,-485
-1567,998,-485
-1567,998,-485
-1636,1074,-406
-1636,1074,-406
-1636,1074,-406
-1636,1074,-406
-1636,1074,-406
-1636,1074,-406
-1649,1115,-360
-1649,1115,-360
-1649,1115,-360
-1649,1115,-360
-1649,1115,-360
-1651,1127,-279
-1651,1127,-279
-1651,1127,-279
-1651,1127,-279
-1651,1127,-279
-1651,1127,-279
-1651,1127,-279
-1651,1127,-279
-1651,1127,-279
-1651,1127,-279
-1651,1127,-279
-1307,529,-95
-1307,529,-95
-1307,529,-95
-1307,529,-95
-1307,529,-95
-1307,529,-95
-781,57,33
-781,57,33
-781,57,33
-781,57,33
-781,57,33
-781,57,33
-212,-210,93
-212,-210,93
-212,-210,93
-212,-210,93
-212,-210,93
-212,-210,93
446,-352,-36
446,-352,-36
446,-352,-36
446,-352,-36
446,-352,-36
446,-352,-36
1025,-501,-310
1025,-501,-310
1025,-501,-310
1025,-501,-310
1025,-501,-310
1025,-501,-310
1025,-501,-310
1616,-383,-982
1616,-383,-982
1616,-383,-982
1616,-383,-982
1616,-383,-982
1616,-383,-982
2047,-323,-1817
2047,-323,-1817
2047,-323,-1817
2047,-323,-1817
2047,-323,-1817
2047,-323,-1817
2047,-694,-2020
2047,-694,-2020
2047,-694,-2020
2047,-694,-2020
2047,-694,-2020
2038,-1250,-1978
2038,-1250,-1978
2038,-1250,-1978
2038,-1250,-1978
2038,-1250,-1978
2038,-1250,-1978

-1193,656,-1018
-1350,1053,-1153
-1350,1053,-1153
-1350,1053,-1153
-1350,1053,-1153
-1350,1053,-1153
-1587,1303,-1091
-1587,1303,-1091
-1587,1303,-1091
-1587,1303,-1091
-1587,1303,-1091
-1587,1303,-1091
-1865,1459,-892
-1865,1459,-892
-1865,1459,-892
-1865,1459,-892
-1865,1459,-892
-1865,1459,-892
-1865,1459,-892
-2048,1673,-682
-2048,1673,-682
-2048,1673,-682
-2048,1673,-682
-2048,1673,-682
-2048,1673,-682
-2048,1673,-682
-2048,1673,-682
-2048,1673,-682
-2048,1673,-682
-2048,1673,-682
-2045,2047,-470
-2045,2047,-470
-2045,2047,-470
-2045,2047,-470
-2045,2047,-470
-2045,2047,-470
-2045,2047,-470
-2045,2047,-470
-2045,2047,-470
-2045,2047,-470
-2045,2047,-470
-2045,2047,-470
-1537,1969,-284
-1537,1969,-284
-1537,1969,-284
-1537,1969,-284
-1537,1969,-284
-1537,1969,-284
-1537,1969,-284
-1537,1969,-284
-1537,1969,-284
-1537,1969,-284
-1537,1969,-284
-1537,1969,-284
-1537,1969,-284
-1537,1969,-284
-1537,1969,-284
-1537,1969,-284
-1537,1969,-284
-1537,1969,-284
1718,-831,-692
1718,-831,-692
1718,-831,-692
1718,-831,-692
1718,-831,-692
1718,-831,-692
1718,-831,-692
1817,-1793,-788
1817,-1793,-788
1817,-1793,-788
1817,-1793,-788
1817,-1793,-788
1817,-1793,-788
2030,-1118,-1156
2044,-1033,-2048
2044,-1033,-2048
2047,-1806,-1523
-336,-860,-896

-1409,1229,-856
-1616,1516,-604
-1616,1516,-604
-1616,1516,-604
-1616,1516,-604
-1616,1516,-604
-2001,1938,-319
-2001,1938,-319
-2001,1938,-319
-2001,1938,-319
-2001,1938,-319
-2048,2047,-117
-2048,2047,-117
-2048,2047,-117
-2048,2047,-117
-2048,2047,-117
-2048,2047,-117
-2048,2047,-117
-2048,2047,-117
-2048,2047,-117
-2048,2047,-117
-2048,2047,-117
-2048,2047,-117
-2048,2047,-117
-1765,1968,-289
-1765,1968,-289
-1765,1968,-289
-1765,1968,-289
-1765,1968,-289
-1765,1968,-289
-1765,1968,-289
-1765,1968,-289
-1765,1968,-289
-1765,1968,-289
-1765,1968,-289
-1765,1968,-289
-125,531,74
-125,531,74
-125,531,74
-125,531,74
-125,531,74
982,-478,-280
982,-478,-280
982,-478,-280
982,-478,-280
982,-478,-280
982,-478,-280
982,-478,-280
2047,-1719,-961
2047,-1719,-961
2047,-1719,-961
2047,-1719,-961
2047,-1719,-961
2027,-690,-1431
2047,-506,-1883
2047,-506,-1883
2047,-506,-1883
2047,-506,-1883
2047,-2030,-1472
1204,-1576,-1728
1204,-1576,-1728



-1209,949,-882
-1209,949,-882
-1360,1262,-986
-1360,1262,-986
-1360,1262,-986
