aX,aY,aZ
1114,-811,-149
1114,-811,-149
1114,-811,-149
1114,-811,-149
1114,-811,-149
1175,-980,-101
1175,-980,-101
1175,-980,-101
1175,-980,-101
1175,-980,-101
1175,-980,-101
1175,-980,-101
1175,-980,-101
1175,-980,-101
1175,-980,-101
1175,-980,-101
1177,-1067,-79
1177,-1067,-79
1177,-1067,-79
1177,-1067,-79
1098,-1071,-144
1098,-1071,-144
1098,-1071,-144
1098,-1071,-144
1098,-1071,-144
1098,-1071,-144
971,-1006,-266
971,-1006,-266
971,-1006,-266
971,-1006,-266
971,-1006,-266
971,-1006,-266
971,-1006,-266
971,-1006,-266
971,-1006,-266
971,-1006,-266
971,-1006,-266
934,-916,-324
934,-916,-324
934,-916,-324
934,-916,-324
944,-863,-245
944,-863,-245
944,-863,-245
944,-863,-245
944,-863,-245
944,-863,-245
944,-863,-245
944,-863,-245
923,-804,-167
923,-804,-167
923,-804,-167
923,-804,-167
923,-804,-167
923,-804,-167
923,-804,-167
923,-804,-167
923,-804,-167
923,-804,-167
923,-804,-167
923,-804,-167
885,-708,-143
881,-655,-62
881,-655,-62
881,-655,-62
881,-655,-62
881,-655,-62
881,-655,-62
881,-655,-62
881,-655,-62
881,-655,-62
881,-655,-62
881,-655,-62
881,-655,-62
881,-655,-62
839,-585,45
839,-585,45
839,-585,45
839,-585,45
839,-585,45
839,-585,45
839,-585,45
839,-585,45
800,-441,101
800,-441,101
800,-441,101
800,-441,101
1117,-303,169
1117,-303,169
1117,-303,169
1117,-303,169
1117,-303,169
1117,-303,169
1117,-303,169
1117,-303,169
1117,-303,169
1117,-303,169
1117,-303,169
1025,-345,-43
1025,-345,-43
1104,-408,-99
1104,-408,-99
1104,-408,-99
1104,-408,-99
1104,-408,-99
1104,-408,-99
1104,-408,-99
1104,-408,-99
1104,-408,-99
1104,-408,-99
1104,-408,-99
1104,-408,-99
1275,-512,-40
1275,-512,-40
1275,-512,-40
1275,-512,-40
1275,-512,-40
1275,-512,-40
1275,-512,-40
1489,-561,-13
1489,-561,-13
1489,-561,-13
1489,-561,-13
1489,-561,-13
1489,-561,-13
1664,-609,-42
1664,-609,-42
1664,-609,-42
1664,-609,-42
1664,-609,-42
1664,-609,-42
1664,-609,-42
1664,-609,-42
1664,-609,-42
1664,-609,-42
1664,-609,-42
1664,-609,-42
1593,-770,-76
1593,-770,-76
1593,-770,-76
1384,-924,-244
1384,-924,-244
1384,-924,-244
1384,-924,-244
1384,-924,-244
1384,-924,-244
1384,-924,-244
1384,-924,-244
1171,-1017,-429
1171,-1017,-429
1171,-1017,-429
1171,-1017,-429
1171,-1017,-429
1171,-1017,-429
1171,-1017,-429
1171,-1017,-429
1171,-1017,-429
1171,-1017,-429
1036,-1104,-463
1036,-1104,-463
1036,-1104,-463
1041,-1150,-328
1041,-1150,-328
1041,-1150,-328
1041,-1150,-328
1041,-1150,-328
1041,-1150,-328
1041,-1150,-328
1056,-1233,-101
1056,-1233,-101
1056,-1233,-101
1056,-1233,-101
1056,-1233,-101
1056,-1233,-101
1056,-1233,-101
1056,-1233,-101
1056,-1233,-101
1056,-1233,-101
1090,-1276,64
1090,-1276,64
1090,-1276,64
1090,-1276,64
1101,-1308,236
1101,-1308,236
1101,-1308,236
1101,-1308,236
1101,-1308,236
1101,-1308,236
1101,-1308,236
950,-1207,286
950,-1207,286
950,-1207,286
950,-1207,286
950,-1207,286
950,-1207,286
950,-1207,286
950,-1207,286
950,-1207,286
950,-1207,286
950,-1207,286
950,-1207,286
845,-988,294
845,-988,294
743,-701,246
743,-701,246
743,-701,246
1216,-621,24
1216,-621,24
1216,-621,24
1216,-621,24
1216,-621,24
1216,-621,24
1216,-621,24
1216,-621,24
1216,-621,24
1216,-621,24
1195,-684,-9
1195,-684,-9
1195,-684,-9
1195,-684,-9
1195,-684,-9
1160,-731,-20
1160,-731,-20
1160,-731,-20
1160,-731,-20
1160,-731,-20
1160,-731,-20
1160,-731,-20
1160,-731,-20
1160,-731,-20
1160,-731,-20
1160,-731,-20
1160,-731,-20
1122,-747,-49
1122,-747,-49
1122,-747,-49
1122,-747,-49
1116,-776,4
1116,-776,4
1116,-776,4
1116,-776,4
1116,-776,4
1116,-776,4
1116,-776,4
1116,-776,4
1116,-776,4
1116,-776,4
1109,-806,-1
