aX,aY,aZ
165,-156,-235
165,-156,-235
165,-156,-235
165,-156,-235
165,-156,-235
165,-156,-235
165,-156,-235
165,-156,-235
165,-156,-235
165,-156,-235
165,-156,-235
183,-18,-323
183,-18,-323
183,-18,-323
242,23,-232
242,23,-232
242,23,-232
242,23,-232
242,23,-232
242,23,-232
242,23,-232
242,23,-232
242,23,-232
242,23,-232
242,23,-232
242,23,-232
242,23,-232
242,23,-232
218,36,-230
218,36,-230
218,36,-230
218,36,-230
124,121,-394
124,121,-394
124,121,-394
124,121,-394
124,121,-394
124,121,-394
124,121,-394
124,121,-394
124,121,-394
124,121,-394
121,143,-408
121,143,-408
121,143,-408
121,143,-408
121,143,-408
121,143,-408
121,143,-408
121,143,-408
121,143,-408
121,143,-408
121,143,-408
121,143,-408
72,109,-283
-83,170,-265
-83,170,-265
-83,170,-265
-83,170,-265
-83,170,-265
-83,170,-265
-83,170,-265
-83,170,-265
-83,170,-265
-83,170,-265
-83,170,-265
-83,170,-265
-83,170,-265
-83,170,-265
-12,256,-351
-12,256,-351
-12,256,-351
-12,256,-351
-12,256,-351
-12,256,-351
126,311,-410
126,311,-410
126,311,-410
126,311,-410
126,311,-410
126,311,-410
126,311,-410
156,337,-423
156,337,-423
156,337,-423
156,337,-423
156,337,-423
156,337,-423
156,337,-423
156,337,-423
156,337,-423
156,337,-423
156,337,-423
156,337,-423
156,337,-423
69,330,-397
69,330,-397
-45,292,-435
-45,292,-435
-45,292,-435
-45,292,-435
-45,292,-435
-45,292,-435
-45,292,-435
-45,292,-435
-45,292,-435
-45,292,-435
-45,292,-435
-45,292,-435
-159,287,-364
-159,287,-364
-159,287,-364
-159,287,-364
-159,287,-364
-159,287,-364
-159,287,-364
-159,287,-364
-159,287,-364
-119,318,-430
1030,-625,196
1030,-625,196
1030,-625,196
1030,-625,196
1030,-625,196
1030,-625,196
1030,-625,196
1030,-625,196
1030,-625,196
1030,-625,196
1030,-625,196
1030,-625,196
1030,-625,196
1032,-864,313
1032,-864,313
1032,-864,313
1032,-864,313
1032,-864,313
1032,-864,313
1032,-864,313
1032,-864,313
1032,-864,313
1032,-864,313
1032,-864,313
1032,-864,313
769,-904,192
769,-904,192
769,-904,192
769,-904,192
769,-904,192
769,-904,192
769,-904,192
769,-904,192
769,-904,192
571,-891,146
571,-891,146
571,-891,146
571,-891,146
507,-812,118
507,-812,118
507,-812,118
507,-812,118
507,-812,118
507,-812,118
507,-812,118
507,-812,118
507,-812,118
507,-812,118
507,-812,118
507,-812,118
507,-812,118
529,-600,-43
529,-600,-43
529,-600,-43
529,-600,-43
529,-600,-43
549,-402,-180
549,-402,-180
549,-402,-180
549,-402,-180
549,-402,-180
549,-402,-180
549,-402,-180
549,-402,-180
472,-245,-99
472,-245,-99
472,-245,-99
472,-245,-99
472,-245,-99
472,-245,-99
472,-245,-99
472,-245,-99
472,-245,-99
472,-245,-99
472,-245,-99
472,-245,-99
472,-245,-99
90,-82,-71
90,-82,-71
90,-82,-71
90,-82,-71
90,-82,-71
90,-82,-71
90,-82,-71
90,-82,-71
90,-82,-71
90,-82,-71
90,-82,-71
90,-82,-71
90,-82,-71
90,-82,-71
90,-82,-71
90,-82,-71
90,-82,-71
90,-82,-71
-343,53,-296
-343,53,-296
-343,53,-296
-464,122,-354
-464,122,-354
-464,122,-354
-464,122,-354
-464,122,-354
-464,122,-354
-464,122,-354
-464,122,-354
-464,122,-354
-464,122,-354
-470,170,-269
-470,170,-269
-470,170,-269
-470,170,-269
-470,170,-269
-470,170,-269
-470,170,-269
-470,170,-269
-470,170,-269
-470,170,-269
-470,170,-269
907,-436,-34
907,-436,-34
907,-436,-34
907,-436,-34
1017,-571,5
1017,-571,5
1017,-571,5
1017,-571,5
1017,-571,5
1017,-571,5
1017,-571,5
1017,-571,5
1017,-571,5
1017,-571,5
1017,-571,5
1017,-571,5
1088,-768,58
1088,-768,58
1088,-768,58
1088,-768,58
1088,-768,58
1088,-768,58
1088,-768,58
1088,-768,58
1088,-768,58
1088,-768,58
1121,-950,56
1121,-950,56
1121,-950,56
1164,-1141,190
1164,-1141,190
1164,-1141,190
1164,-1141,190
1164,-1141,190
1164,-1141,190
1164,-1141,190
1164,-1141,190
1164,-1141,190
1164,-1141,190
1164,-1141,190
1110,-1199,387
1110,-1199,387
1110,-1199,387
1110,-1199,387
1110,-1199,387
1110,-1199,387
1110,-1199,387
911,-1006,467
911,-1006,467
911,-1006,467
911,-1006,467
605,-770,218
605,-770,218
605,-770,218
605,-770,218
605,-770,218
605,-770,218
605,-770,218
605,-770,218
605,-770,218
605,-770,218
605,-770,218
605,-770,218
605,-770,218
605,-770,218
472,-561,142
472,-561,142
472,-561,142
472,-561,142
470,-368,209
470,-368,209
470,-368,209
470,-368,209
470,-368,209
470,-368,209
470,-368,209
470,-368,209
470,-368,209
363,-143,91
363,-143,91
363,-143,91
363,-143,91
363,-143,91
363,-143,91
363,-143,91
363,-143,91
363,-143,91
363,-143,91
363,-143,91
363,-143,91
363,-143,91
71,73,-65
71,73,-65
-169,184,-141
-169,184,-141
-169,184,-141
-169,184,-141
-169,184,-141
-169,184,-141
-169,184,-141
-169,184,-141
-169,184,-141
-169,184,-141
-169,184,-141
-169,184,-141
-478,249,-148
-478,249,-148
-478,249,-148
-478,249,-148
-478,249,-148
-478,249,-148
-478,249,-148
-776,315,-170
-776,315,-170
-776,315,-170
-776,315,-170
-776,315,-170
-777,332,-73
-777,332,-73
1000,-577,122
1000,-577,122
1000,-577,122
1000,-577,122
1000,-577,122
1000,-577,122
1000,-577,122
1000,-577,122
1000,-577,122
1000,-577,122
1246,-749,220
1246,-749,220
1246,-749,220
1377,-827,202
1377,-827,202
1377,-827,202
1377,-827,202
1377,-827,202
1377,-827,202
1377,-827,202
1377,-827,202
1377,-827,202
1377,-827,202
1377,-827,202
1377,-827,202
1390,-840,198
1390,-840,198
1390,-840,198
1390,-840,198
1390,-840,198
1390,-840,198
1390,-840,198
1191,-888,199
1191,-888,199
1191,-888,199
1191,-888,199
1191,-888,199
821,-792,174
821,-792,174
821,-792,174
821,-792,174
821,-792,174
821,-792,174
821,-792,174
821,-792,174
821,-792,174
821,-792,174
821,-792,174
821,-792,174
821,-792,174
579,-666,9
579,-666,9
579,-666,9
579,-666,9
482,-534,-56
482,-534,-56
482,-534,-56
482,-534,-56
482,-534,-56
482,-534,-56
482,-534,-56
482,-534,-56
482,-534,-56
482,-534,-56
482,-534,-56
509,-360,-13
509,-360,-13
509,-360,-13
509,-360,-13
509,-360,-13
509,-360,-13
509,-360,-13
509,-360,-13
509,-360,-13
509,-360,-13
438,-206,-118
438,-206,-118
438,-206,-118
252,-23,-158
252,-23,-158
252,-23,-158
252,-23,-158
252,-23,-158
252,-23,-158
252,-23,-158
252,-23,-158
252,-23,-158
252,-23,-158
252,-23,-158
252,-23,-158
252,-23,-158
39,80,-158
39,80,-158
39,80,-158
39,80,-158
39,80,-158
-234,184,-142
-234,184,-142
-234,184,-142
-234,184,-142
-234,184,-142
-234,184,-142
-234,184,-142
-234,184,-142
-234,184,-142
-474,296,-191
-474,296,-191
-474,296,-191
-474,296,-191
-474,296,-191
-474,296,-191
-474,296,-191
-474,296,-191
-474,296,-191
-474,296,-191
-474,296,-191
-474,296,-191
-753,364,-241
-753,364,-241
988,-528,11
988,-528,11
988,-528,11
988,-528,11
988,-528,11
988,-528,11
988,-528,11
988,-528,11
988,-528,11
988,-528,11
988,-528,11
988,-528,11
988,-528,11
988,-528,11
988,-528,11
1101,-695,85
1128,-870,183
1128,-870,183
1128,-870,183
1128,-870,183
1128,-870,183
1128,-870,183
1128,-870,183
1128,-870,183
1128,-870,183
1128,-870,183
1128,-870,183
1128,-870,183
950,-963,195
950,-963,195
950,-963,195
950,-963,195
950,-963,195
950,-963,195
950,-963,195
950,-963,195
778,-984,131
778,-984,131
778,-984,131
778,-984,131
778,-984,131
697,-938,-17
697,-938,-17
697,-938,-17
697,-938,-17
697,-938,-17
697,-938,-17
697,-938,-17
697,-938,-17
697,-938,-17
697,-938,-17
697,-938,-17
697,-938,-17
697,-938,-17
697,-938,-17
658,-852,-125
658,-852,-125
697,-785,-104
697,-785,-104
697,-785,-104
697,-785,-104
697,-785,-104
697,-785,-104
697,-785,-104
697,-785,-104
697,-785,-104
697,-785,-104
727,-738,10
727,-738,10
727,-738,10
727,-738,10
727,-738,10
727,-738,10
727,-738,10
727,-738,10
727,-738,10
727,-738,10
727,-738,10
727,-738,10
671,-611,23
671,-611,23
671,-611,23
554,-430,-18
554,-430,-18
554,-430,-18
554,-430,-18
554,-430,-18
554,-430,-18
554,-430,-18
554,-430,-18
554,-430,-18
554,-430,-18
554,-430,-18
554,-430,-18
554,-430,-18
426,-220,-70
426,-220,-70
426,-220,-70
426,-220,-70
426,-220,-70
360,-79,-2
360,-79,-2
360,-79,-2
360,-79,-2
360,-79,-2
360,-79,-2
360,-79,-2
360,-79,-2
360,-79,-2
360,-79,-2
360,-79,-2
13,14,53
13,14,53
13,14,53
13,14,53
13,14,53
13,14,53
13,14,53
13,14,53
904,-192,-95
904,-192,-95
904,-192,-95
904,-192,-95
904,-192,-95
904,-192,-95
904,-192,-95
906,-345,-17
906,-345,-17
906,-345,-17
906,-345,-17
906,-345,-17
906,-345,-17
906,-345,-17
906,-345,-17
865,-524,31
865,-524,31
865,-524,31
865,-524,31
865,-524,31
865,-524,31
865,-524,31
865,-524,31
865,-524,31
865,-524,31
865,-524,31
865,-524,31
865,-524,31
764,-586,-27
764,-586,-27
572,-546,-164
572,-546,-164
572,-546,-164
572,-546,-164
572,-546,-164
572,-546,-164
572,-546,-164
572,-546,-164
572,-546,-164
572,-546,-164
572,-546,-164
572,-546,-164
298,-468,-359
298,-468,-359
298,-468,-359
298,-468,-359
298,-468,-359
298,-468,-359
298,-468,-359
186,-397,-441
186,-397,-441
186,-397,-441
186,-397,-441
186,-397,-441
376,-332,-372
376,-332,-372
376,-332,-372
376,-332,-372
376,-332,-372
376,-332,-372
376,-332,-372
376,-332,-372
376,-332,-372
376,-332,-372
376,-332,-372
376,-332,-372
605,-317,-210
605,-317,-210
605,-317,-210
605,-317,-210
492,-438,-220
492,-438,-220
492,-438,-220
492,-438,-220
492,-438,-220
492,-438,-220
492,-438,-220
492,-438,-220
208,-442,-204
208,-442,-204
208,-442,-204
208,-442,-204
208,-442,-204
208,-442,-204
208,-442,-204
208,-442,-204
208,-442,-204
208,-442,-204
208,-442,-204
208,-442,-204
10,-441,-201
-191,-365,-235
-191,-365,-235
-191,-365,-235
-191,-365,-235
-191,-365,-235
-191,-365,-235
-191,-365,-235
