aX,aY,aZ
1715,138,173
1715,138,173
2047,125,209
2047,125,209
2047,53,279
2047,53,279
2047,53,279
2047,53,279
2047,53,279
2047,53,279
2047,53,279
2047,53,279
2047,53,279
2047,53,279
2047,53,279
2047,53,279
2047,53,279
2047,53,279
2047,53,279
2040,72,530
2040,72,530
2040,72,530
2040,72,530
2040,72,530
2040,72,530
2047,-20,200
2047,-20,200
2047,-20,200
2047,-20,200
2047,-20,200
2047,-20,200
2047,-20,200
2037,6,154
2037,6,154
2037,6,154
2037,6,154
2037,6,154
2037,6,154
2037,6,154
2037,6,154
2037,6,154
2037,6,154
2037,6,154
2037,6,154
2037,6,154
2037,6,154
2037,6,154
1647,-9,10
1647,-9,10
1153,88,-224
1153,88,-224
1153,88,-224
1153,88,-224
1153,88,-224
1153,88,-224
1153,88,-224
1153,88,-224
1153,88,-224
1153,88,-224
1153,88,-224
1153,88,-224
1153,88,-224
970,168,-320
970,168,-320
970,168,-320
970,168,-320
970,168,-320
970,168,-320
970,168,-320
-490,-236,-661
-490,-236,-661
-490,-236,-661
-542,-162,-602
-542,-162,-602
-542,-162,-602
-542,-162,-602
-542,-162,-602
-542,-162,-602
-542,-162,-602
-542,-162,-602
-542,-162,-602
-474,-121,-566
-474,-121,-566
-474,-121,-566
-474,-121,-566
-474,-121,-566
-474,-121,-566
-474,-121,-566
-474,-121,-566
-474,-121,-566
-474,-121,-566
-474,-121,-566
-474,-121,-566
84,-164,-373
84,-164,-373
84,-164,-373
84,-164,-373
84,-164,-373
84,-164,-373
84,-164,-373
84,-164,-373
84,-164,-373
84,-164,-373
84,-164,-373
84,-164,-373
84,-164,-373
477,-93,-164
477,-93,-164
477,-93,-164
477,-93,-164
477,-93,-164
477,-93,-164
477,-93,-164
953,-6,83
953,-6,83
953,-6,83
953,-6,83
953,-6,83
953,-6,83
953,-6,83
953,-6,83
953,-6,83
1450,60,259
1450,60,259
1450,60,259
1450,60,259
1450,60,259
1450,60,259
1450,60,259
1450,60,259
1450,60,259
1450,60,259
1450,60,259
1450,60,259
1450,60,259
1450,60,259
1904,44,407
2047,-23,512
2047,-23,512
2047,-23,512
2047,-23,512
2047,-23,512
2047,-23,512
2047,-23,512
2047,-23,512
2047,-23,512
2047,-23,512
2047,-23,512
2047,-23,512
2047,-23,512
2047,-61,631
2047,-61,631
2047,-61,631
2047,-61,631
2047,-61,631
2047,-61,631
2047,-61,631
2047,-61,631
2042,-80,622
2042,-80,622
2042,-80,622
2042,-80,622
2042,-80,622
1975,-75,46
1975,-75,46
1975,-75,46
1975,-75,46
1975,-75,46
1975,-75,46
1975,-75,46
1975,-75,46
1975,-75,46
1975,-75,46
1975,-75,46
1975,-75,46
1975,-75,46
1975,-75,46
1975,-75,46
1973,-169,404
1537,-79,-86
1537,-79,-86
1537,-79,-86
1537,-79,-86
1537,-79,-86
1537,-79,-86
1537,-79,-86
1537,-79,-86
1537,-79,-86
-599,-369,-560
-599,-369,-560
-599,-369,-560
-599,-369,-560
-599,-369,-560
-599,-369,-560
-599,-369,-560
-599,-369,-560
-599,-369,-560
-599,-369,-560
-599,-369,-560
-599,-369,-560
-759,-4,-337
-759,-4,-337
-759,-4,-337
-759,-4,-337
-759,-4,-337
-759,-4,-337
-759,-4,-337
-759,-4,-337
-759,-4,-337
-759,-4,-337
-759,-4,-337
-759,-4,-337
-759,-4,-337
-759,-4,-337
-363,147,-97
-363,147,-97
-363,147,-97
-363,147,-97
-363,147,-97
-363,147,-97
-363,147,-97
249,162,120
249,162,120
249,162,120
249,162,120
249,162,120
249,162,120
249,162,120
967,124,195
967,124,195
967,124,195
967,124,195
967,124,195
967,124,195
967,124,195
967,124,195
967,124,195
967,124,195
967,124,195
967,124,195
967,124,195
967,124,195
967,124,195
2047,-125,268
2047,-125,268
2047,-125,268
2047,-125,268
2047,-125,268
2047,-125,268
2047,-125,268
2047,-125,268
2047,-125,268
2047,-125,268
2047,-125,268
2047,-125,268
2047,-97,298
2047,-97,298
2047,-97,298
2047,-97,298
2047,-97,298
2047,-97,298
2047,-97,298
2047,-97,298
2047,-97,298
2047,-97,298
2040,-18,143
2040,-18,143
2040,-18,143
2047,28,16
2047,28,16
2047,28,16
2047,28,16
2047,28,16
2047,28,16
2047,28,16
2047,28,16
2047,28,16
2047,28,16
2047,28,16
2047,28,16
2047,28,16
2047,28,16
2047,28,16
2047,28,16
2042,-37,-3
2042,-37,-3
2042,-37,-3
1911,68,-335
1911,68,-335
1911,68,-335
1911,68,-335
1911,68,-335
1911,68,-335
1911,68,-335
1911,68,-335
1911,68,-335
1911,68,-335
1911,68,-335
1578,180,-343
1578,180,-343
1578,180,-343
1578,180,-343
1578,180,-343
1578,180,-343
1578,180,-343
1578,180,-343
1578,180,-343
-481,-196,-601
-481,-196,-601
-481,-196,-601
-481,-196,-601
-481,-196,-601
-481,-196,-601
-486,-160,-492
-486,-160,-492
-486,-160,-492
-486,-160,-492
-486,-160,-492
-486,-160,-492
-441,-101,-326
-441,-101,-326
-441,-101,-326
-441,-101,-326
-441,-101,-326
-441,-101,-326
-441,-101,-326
-441,-101,-326
-441,-101,-326
-441,-101,-326
-441,-101,-326
-441,-101,-326
-175,-80,-188
-175,-80,-188
-175,-80,-188
329,-27,-54
329,-27,-54
329,-27,-54
329,-27,-54
329,-27,-54
329,-27,-54
329,-27,-54
329,-27,-54
329,-27,-54
329,-27,-54
329,-27,-54
949,49,120
949,49,120
949,49,120
949,49,120
949,49,120
949,49,120
949,49,120
949,49,120
949,49,120
949,49,120
949,49,120
1630,72,51
1630,72,51
1630,72,51
1630,72,51
1630,72,51
2047,73,72
2047,73,72
2047,73,72
2047,73,72
2047,73,72
2047,73,72
2047,73,72
2047,73,72
2047,73,72
2047,73,72
2047,73,72
2047,73,72
2047,73,72
2047,73,72
2047,73,72
2047,73,72
2047,73,72
2039,114,90
2039,114,90
2039,114,90
2039,114,90
2039,114,90
2039,114,90
2039,114,90
2039,114,90
2039,114,90
2039,114,90
2039,114,90
2039,114,90
2039,114,90
2039,114,90
1994,-6,67
1994,-6,67
1994,-6,67
1994,-6,67
1994,-6,67
1994,-6,67
1994,-6,67
1994,-6,67
1994,-6,67
1739,-75,-21
1739,-75,-21
1739,-75,-21
1739,-75,-21
1739,-75,-21
1739,-75,-21
1739,-75,-21
1518,-79,-78
1518,-79,-78
1518,-79,-78
1518,-79,-78
1518,-79,-78
1518,-79,-78
1518,-79,-78
1518,-79,-78
1518,-79,-78
1518,-79,-78
1518,-79,-78
1518,-79,-78
1518,-79,-78
1383,47,-244
1378,59,-118
1378,59,-118
1378,59,-118
1378,59,-118
-331,-370,-586
-331,-370,-586
-331,-370,-586
-331,-370,-586
-331,-370,-586
-331,-370,-586
-487,-297,-560
-487,-297,-560
-487,-297,-560
-487,-297,-560
-487,-297,-560
-487,-297,-560
-465,-125,-279
-465,-125,-279
-465,-125,-279
-465,-125,-279
-465,-125,-279
-465,-125,-279
-465,-125,-279
-465,-125,-279
-465,-125,-279
-465,-125,-279
-465,-125,-279
-465,-125,-279
-159,15,-83
-159,15,-83
415,42,215
415,42,215
415,42,215
415,42,215
415,42,215
415,42,215
415,42,215
415,42,215
415,42,215
415,42,215
415,42,215
415,42,215
415,42,215
415,42,215
992,-17,-10
992,-17,-10
992,-17,-10
992,-17,-10
992,-17,-10
992,-17,-10
992,-17,-10
992,-17,-10
1677,-163,-540
1677,-163,-540
1677,-163,-540
1677,-163,-540
1677,-163,-540
2047,-90,-495
2047,-90,-495
2047,-90,-495
2047,-90,-495
2047,-90,-495
2047,-90,-495
2047,-90,-495
2047,-90,-495
2047,-90,-495
2047,-90,-495
2047,-90,-495
2047,-90,-495
2047,244,-145
2047,244,-145
2047,244,-145
2047,244,-145
2032,306,-220
2032,306,-220
2032,306,-220
2032,306,-220
2032,306,-220
2032,306,-220
2032,306,-220
2032,306,-220
1713,84,-85
1713,84,-85
1713,84,-85
1713,84,-85
1713,84,-85
1713,84,-85
1713,84,-85
1713,84,-85
1713,84,-85
1713,84,-85
1713,84,-85
1713,84,-85
1713,84,-85
1713,84,-85
1074,-34,-50
883,-20,276
883,-20,276
883,-20,276
883,-20,276
883,-20,276
883,-20,276
883,-20,276
883,-20,276
883,-20,276
883,-20,276
883,-20,276
883,-20,276
883,-20,276
883,-20,276
883,-20,276
937,157,331
937,157,331
937,157,331
937,157,331
937,157,331
937,157,331
1091,114,244
1091,114,244
1091,114,244
1091,114,244
1091,114,244
1091,114,244
-362,-236,-679
-362,-236,-679
-362,-236,-679
-362,-236,-679
-362,-236,-679
-451,-276,-604
-451,-276,-604
-451,-276,-604
-451,-276,-604
-451,-276,-604
-451,-276,-604
-451,-276,-604
-393,-263,-320
-393,-263,-320
-393,-263,-320
-393,-263,-320
-393,-263,-320
-393,-263,-320
-393,-263,-320
-393,-263,-320
-393,-263,-320
-393,-263,-320
-393,-263,-320
-393,-263,-320
-100,-178,-136
416,-57,-5
416,-57,-5
416,-57,-5
416,-57,-5
416,-57,-5
416,-57,-5
416,-57,-5
416,-57,-5
416,-57,-5
416,-57,-5
416,-57,-5
416,-57,-5
416,-57,-5
416,-57,-5
416,-57,-5
1070,38,286
1070,38,286
1070,38,286
1070,38,286
1070,38,286
1070,38,286
1680,84,448
1680,84,448
1680,84,448
1680,84,448
1680,84,448
1680,84,448
1680,84,448
1680,84,448
1680,84,448
2047,84,650
2047,84,650
2047,84,650
2047,84,650
2047,84,650
2047,84,650
2047,84,650
2047,84,650
2047,84,650
2047,84,650
2047,84,650
2047,84,650
2047,84,650
2047,84,650
2041,-81,615
2041,-81,615
2041,-81,615
2041,-81,615
2041,-81,615
2041,-81,615
2041,-81,615
2041,-81,615
2041,-81,615
2041,-81,615
2041,-81,615
2041,-81,615
2041,-81,615
2041,-81,615
2034,-179,379
2034,-179,379
2034,-179,379
2034,-179,379
2034,-179,379
2034,-179,379
2034,-179,379
2034,-179,379
1775,-128,9
1775,-128,9
1775,-128,9
1775,-128,9
1439,19,-20
1439,19,-20
1439,19,-20
1439,19,-20
1439,19,-20
1439,19,-20
1439,19,-20
1439,19,-20
1439,19,-20
1439,19,-20
1439,19,-20
1439,19,-20
1439,19,-20
1439,19,-20
1439,19,-20
1238,100,-136
1238,100,-136
1207,17,-85
1207,17,-85
1207,17,-85
1207,17,-85
1207,17,-85
1207,17,-85
1207,17,-85
125,-192,-991
125,-192,-991
125,-192,-991
125,-192,-991
125,-192,-991
125,-192,-991
125,-192,-991
125,-192,-991
99,-196,-1015
99,-196,-1015
99,-196,-1015
99,-196,-1015
99,-196,-1015
90,-196,-991
90,-196,-991
90,-196,-991
90,-196,-991
90,-196,-991
90,-196,-991
90,-196,-991
90,-196,-991
90,-196,-991
90,-196,-991
90,-196,-991
90,-196,-991
90,-196,-991
90,-196,-991
86,-193,-1004
86,-193,-1004
98,-194,-1000
98,-194,-1000
98,-194,-1000
98,-194,-1000
98,-194,-1000
98,-194,-1000
98,-194,-1000
98,-194,-1000
98,-194,-1000
98,-194,-1000
109,-185,-1011
109,-185,-1011
109,-185,-1011
109,-185,-1011
109,-185,-1011
109,-185,-1011
109,-185,-1011
109,-185,-1011
109,-185,-1011
109,-185,-1011
109,-185,-1011
104,-199,-1019
104,-199,-1019
104,-199,-1019
104,-199,-1019
104,-199,-1019
104,-199,-1019
104,-199,-1019
104,-199,-1019
104,-199,-1019
104,-199,-1019
104,-199,-1019
103,-201,-1012
103,-201,-1012
103,-201,-1012
103,-201,-1012
103,-201,-1012
103,-201,-1012
103,-201,-1012
103,-201,-1012
103,-201,-1012
103,-201,-1012
100,-195,-1008
97,-191,-1005
97,-191,-1005
97,-191,-1005
97,-191,-1005
97,-191,-1005
97,-191,-1005
97,-191,-1005
97,-191,-1005
97,-191,-1005
97,-191,-1005
97,-191,-1005
97,-191,-1005
99,-193,-1008
99,-193,-1008
99,-193,-1008
99,-193,-1008
99,-193,-1008
99,-193,-1008
99,-193,-1008
105,-197,-1007
105,-197,-1007
105,-197,-1007
105,-197,-1007
105,-197,-1007
106,-193,-1008
106,-193,-1008
106,-193,-1008
106,-193,-1008
106,-193,-1008
106,-193,-1008
106,-193,-1008
106,-193,-1008
106,-193,-1008
106,-193,-1008
106,-193,-1008
106,-192,-1006
106,-192,-1006
106,-192,-1006
106,-192,-1006
106,-192,-1006
104,-192,-1008
104,-192,-1008
104,-192,-1008
104,-192,-1008
104,-192,-1008
104,-192,-1008
104,-194,-1009
-573,-285,-399
-573,-285,-399
-573,-285,-399
-573,-285,-399
-573,-285,-399
-573,-285,-399
-573,-285,-399
-573,-285,-399
-377,-283,-206
-377,-283,-206
-377,-283,-206
-377,-283,-206
43,-208,-127
43,-208,-127
43,-208,-127
43,-208,-127
43,-208,-127
43,-208,-127
43,-208,-127
43,-208,-127
43,-208,-127
43,-208,-127
43,-208,-127
43,-208,-127
43,-208,-127
43,-208,-127
562,-76,-223
562,-76,-223
1180,32,-389
1180,32,-389
1180,32,-389
1180,32,-389
1180,32,-389
1180,32,-389
1180,32,-389
1180,32,-389
1180,32,-389
1180,32,-389
1180,32,-389
1823,51,-934
1823,51,-934
1823,51,-934
1823,51,-934
1823,51,-934
1823,51,-934
1823,51,-934
1823,51,-934
1823,51,-934
1823,51,-934
1823,51,-934
2047,93,-1204
2047,93,-1204
2039,254,-1209
2039,254,-1209
2039,254,-1209
2039,254,-1209
2039,254,-1209
2039,254,-1209
2039,254,-1209
2039,254,-1209
2039,254,-1209
2039,254,-1209
2039,254,-1209
1674,281,-823
1674,281,-823
1674,281,-823
1674,281,-823
1674,281,-823
1674,281,-823
1674,281,-823
1674,281,-823
1674,281,-823
1096,214,-509
1096,214,-509
1096,214,-509
868,103,-418
868,103,-418
868,103,-418
868,103,-418
868,103,-418
868,103,-418
868,103,-418
868,103,-418
868,103,-418
868,103,-418
868,103,-418
868,103,-418
868,103,-418
847,30,-371
847,30,-371
847,30,-371
847,30,-371
847,30,-371
1028,5,-320
1028,5,-320
1028,5,-320
1028,5,-320
1028,5,-320
1028,5,-320
1028,5,-320
1028,5,-320
1028,5,-320
1028,5,-320
1235,28,-225
1235,28,-225
1235,28,-225
1235,28,-225
1235,28,-225
1235,28,-225
1235,28,-225
1235,28,-225
1235,28,-225
1235,28,-225
1235,28,-225
1235,28,-225
1235,28,-225
1278,8,-122
1278,8,-122
1278,8,-122
-569,-374,-587
-569,-374,-587
-569,-374,-587
